model_name,technique_name,total_runs,valid_json_count
Llama 3.2 3B Instruct,zero-shot,51,50
Llama 3.2 3B Instruct,few-shot,50,50
Llama 3.2 3B Instruct,chain-of-thought,50,47
Llama 3.2 3B Instruct,structured-output,50,48
Phi-4-mini 3.8B Instruct,zero-shot,50,49
Phi-4-mini 3.8B Instruct,few-shot,50,49
Phi-4-mini 3.8B Instruct,chain-of-thought,50,50
Phi-4-mini 3.8B Instruct,structured-output,50,50
Qwen 2.5 3B Instruct,zero-shot,50,45
Qwen 2.5 3B Instruct,few-shot,50,49
Qwen 2.5 3B Instruct,chain-of-thought,54,50
Qwen 2.5 3B Instruct,structured-output,50,48
Gemma-SEA-LION v4 4B,zero-shot,51,50
Gemma-SEA-LION v4 4B,few-shot,50,47
Gemma-SEA-LION v4 4B,chain-of-thought,52,49
Gemma-SEA-LION v4 4B,structured-output,50,47
MedGemma 4B,zero-shot,54,50
MedGemma 4B,few-shot,50,49
MedGemma 4B,chain-of-thought,50,48
MedGemma 4B,structured-output,50,50
